Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,2.4GHz Antenna,1,50Ohm 2.4GHz PCB ANT,
"C1, L1, L2",0402,3,2n2,
"C10, C11, C12, C14, C15, C17, C18, C25, C26, C30, C31, C6, C7, C8",0402,14,100n,
"C13, C2, C27, C5, C9",0402,5,1u,
"C16, C21, C4",0402,3,10u,
"C19, C23",0402,2,20p,
"C22, C24",0201,2,3p3,
C28,0402,1,1uF,
C29,0402,1,100nF,
C3,0402,1,10n,
D1,0603,1,LED,
"D2, D3",LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z1.6mm,2,940nm,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,
J2,LCSC FPC 18,1,DISPLAY,
J3,microSD_HC_Molex_104031-0811,1,Micro_SD_Card,
J4,PinSocket_1x03_P2.54mm_Vertical,1,VS1838B IR Receiver,
L3,0201,1,2n2,
Q1,SOT-23,1,SS8050,
"R1, R3, R4, R5",0402,4,5k1,
"R10, R11, R12, R8, R9",0201,5,0R,
R13,0402,1,470,
R14,0402,1,47,
"R15, R16, R17, R19, R20, R21, R22, R24, R7",0402,9,10k,
R18,0402,1,22,
R2,0402,1,1M,
"R23, R26",0805,2,47,
R25,0402,1,1k,
R6,0402,1,2k1,
"SW1, SW2",SW_SPST_PTS810,2,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,1,ESP32-S3,
U3,SOT-23-5,1,SPX3819M5-L-3-3,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,ESP-PSRAM64H,
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVSIQ,
U6,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP9808_DFN,
U7,XDCR_BH1750FVI-TR,1,BH1750FVI-TR,
Y1,Crystal_SMD_EuroQuartz_X22-4Pin_2.5x2.0mm,1,40MHz,
