Designator,Mid X,Mid Y,Rotation,Layer
ANT1,141.858831,-99.965076,45.0,top
C1,153.4,-121.3,0.0,top
C10,157.725,-110.375,0.0,top
C11,160.4,-100.85,180.0,top
C12,163.95,-109.95,90.0,top
C13,162.8,-109.95,90.0,top
C14,169.1,-117.5,90.0,top
C15,168.275,-113.625,270.0,top
C16,170.4,-117.5,90.0,top
C17,151.55,-113.4,270.0,top
C18,173.95,-112.15,270.0,top
C19,155.15,-97.55,90.0,top
C2,155.5,-99.6,180.0,top
C21,170.5,-114.75,90.0,top
C22,154.12,-101.95,225.0,top
C23,160.3,-97.05,180.0,top
C24,151.51,-101.54,270.0,top
C25,165.15,-103.05,180.0,top
C26,171.79,-119.3,180.0,top
C27,149.675,-108.25,180.0,top
C28,153.42,-118.7,180.0,bottom
C29,153.42,-119.99,180.0,bottom
C3,155.5,-100.882843,180.0,top
C30,146.925,-105.7,270.0,top
C31,149.175,-113.45,180.0,top
C4,147.95566,-104.8,90.0,top
C5,149.25566,-104.8,90.0,top
C6,150.55566,-104.8,90.0,top
C7,153.5,-104.8,90.0,top
C8,167.8,-117.5,90.0,top
C9,160.4,-99.7,180.0,top
D1,166.5,-120.6,90.0,top
D2,144.675,-120.905,270.0,top
D3,144.655,-115.625,270.0,top
J1,160.0,-120.3,0.0,top
J2,149.5,-112.075,90.0,bottom
J3,165.95,-106.16,90.0,bottom
J4,144.65,-108.71,0.0,top
L1,152.03,-104.36,180.0,top
L2,168.45,-115.8,0.0,top
L3,152.61,-101.91,180.0,top
Q1,148.625,-116.825,0.0,top
R1,147.525,-109.825,270.0,top
R10,163.45,-106.6,180.0,top
R11,163.45,-105.75,180.0,top
R12,163.45,-104.9,180.0,top
R13,162.425,-97.55,270.0,top
R14,163.125,-102.75,270.0,top
R15,171.35,-103.05,180.0,top
R16,169.375,-113.625,270.0,top
R17,149.175,-114.5,180.0,top
R18,157.15,-100.05,270.0,top
R19,173.475,-109.325,0.0,top
R2,153.4,-117.4,0.0,top
R20,173.475,-108.175,0.0,top
R21,173.475,-107.05,0.0,top
R22,173.58,-102.77,90.0,top
R23,147.93,-122.09,180.0,top
R24,173.6,-99.7,90.0,top
R25,150.18,-119.49,90.0,top
R26,147.94,-119.49,0.0,top
R3,147.525,-111.859999,270.0,top
R4,153.4,-120.0,0.0,top
R5,153.4,-118.7,0.0,top
R6,166.5,-117.5,270.0,top
R7,166.6,-110.45,90.0,top
R8,163.45,-108.45,180.0,top
R9,163.45,-107.6,180.0,top
SW1,164.9,-113.4,180.0,top
SW2,155.1,-113.4,180.0,top
U1,160.0,-113.4,270.0,top
U2,158.4,-105.7,90.0,top
U3,173.0,-115.4,270.0,top
U4,168.25,-106.5,90.0,top
U5,168.25,-99.4,90.0,top
U6,170.255,-121.14,270.0,top
U7,149.2,-110.775,90.0,top
Y1,157.5,-97.55,0.0,top
